,SensorID,SensorTown,SensorLong,SensorLat
0,DEHH008,Hamburg,53.56414,9.967882
1,DEHH015,Hamburg,53.523262,10.021227
2,DEHH016,Hamburg,53.52902,10.081685
3,DEHH021,Hamburg,53.487669,10.083646
4,DEHH026,Hamburg,53.560632,9.957236
5,DEHH033,Hamburg,53.638291,9.998009
6,DEHH047,Hamburg,53.63074,10.110595
7,DEHH049,Hamburg,53.568124,9.786234
8,DEHH050,Hamburg,53.480927,9.857223
9,DEHH059,Hamburg,53.50793,9.990569
10,DEHH064,Hamburg,53.564399,9.94458
11,DEHH068,Hamburg,53.592301,10.053859
12,DEHH070,Hamburg,53.555668,9.943012
13,DEHH072,Hamburg,53.535958,9.84408
14,DEHH073,Hamburg,53.532075,9.832702
15,DEHH074,Hamburg,53.538531,10.102823
16,DEHH075,Hamburg,53.518764,10.122063
17,DEHH076,Hamburg,53.467561,9.971706
18,DEHH078,Hamburg,53.551042,9.965585
19,DEHH079,Hamburg,53.545269,9.944815
20,DEHH080,Hamburg,53.547355,9.98792
21,DEHH081,Hamburg,53.529158,9.981599
